accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.26000977,-0.9463501,0.21307373,-0.015625,-0.5,0.140625,Sitting Normal
-0.26171875,-0.9495239,0.21697998,0.0625,-0.59375,0.25,Sitting Normal
-0.26611328,-0.9507446,0.21844482,-0.125,-0.546875,0.140625,Sitting Normal
-0.26513672,-0.94537354,0.21600342,-0.6875,-0.984375,-0.09375,Sitting Normal
-0.26220703,-0.95318604,0.21600342,-1.796875,-0.6875,-0.0625,Sitting Normal
-0.25170898,-0.9356079,0.22503662,-0.0625,-0.75,0.0,Sitting Normal
-0.26171875,-0.9624634,0.2140503,0.03125,-0.78125,0.984375,Sitting Normal
-0.26000977,-0.9417114,0.21331787,-1.828125,0.078125,-0.234375,Sitting Normal
-0.2685547,-0.9470825,0.22381592,0.21875,-1.0625,-0.078125,Sitting Normal
-0.26489258,-0.960022,0.22235107,-0.25,-0.9375,0.390625,Sitting Normal
-0.2602539,-0.95440674,0.21673584,-1.125,-1.1875,-0.1875,Sitting Normal
-0.26708984,-0.93756104,0.22088623,0.84375,0.640625,0.4375,Sitting Normal
-0.25976562,-0.9414673,0.2177124,0.3125,-0.375,0.5,Sitting Normal
-0.27026367,-0.94488525,0.22210693,0.40625,-0.75,0.078125,Sitting Normal
-0.2631836,-0.9451294,0.22064209,0.03125,-0.296875,0.3125,Sitting Normal
-0.26538086,-0.94195557,0.21746826,0.265625,0.015625,0.109375,Sitting Normal
-0.26342773,-0.95147705,0.22503662,0.96875,-0.171875,0.671875,Sitting Normal
-0.26489258,-0.9373169,0.21746826,0.546875,-0.90625,0.203125,Sitting Normal
-0.25610352,-0.9456177,0.21502686,0.9375,-0.21875,0.25,Sitting Normal
-0.26342773,-0.94659424,0.215271,0.078125,-0.140625,0.375,Sitting Normal
-0.26586914,-0.9480591,0.21795654,0.28125,-0.296875,0.234375,Sitting Normal
-0.26049805,-0.94488525,0.215271,0.28125,-0.1875,0.296875,Sitting Normal
-0.25512695,-0.94195557,0.21746826,0.171875,-0.078125,0.078125,Sitting Normal
-0.26220703,-0.9541626,0.22088623,0.34375,-0.34375,0.15625,Sitting Normal
-0.26391602,-0.94488525,0.22088623,0.109375,-0.5,0.21875,Sitting Normal
-0.2614746,-0.9390259,0.21575928,-0.40625,-1.09375,-0.125,Sitting Normal
-0.26367188,-0.9492798,0.21966553,-0.78125,-0.78125,0.015625,Sitting Normal
-0.26513672,-0.9483032,0.22259521,-0.703125,-0.671875,-0.046875,Sitting Normal
-0.2631836,-0.94317627,0.21942139,-0.59375,-0.984375,-0.0625,Sitting Normal
-0.26367188,-0.9470825,0.21795654,-1.09375,-0.75,0.046875,Sitting Normal
-0.2680664,-0.94610596,0.22235107,-0.609375,-0.828125,-0.03125,Sitting Normal
-0.26782227,-0.9480591,0.2243042,-1.015625,-0.734375,0.203125,Sitting Normal
-0.26464844,-0.9468384,0.2230835,-0.265625,-0.796875,0.125,Sitting Normal
-0.25708008,-0.9397583,0.22039795,-0.484375,-0.3125,0.25,Sitting Normal
